JPWORD,ENGWORD
に,to
する,do
は,teeth
を,of
が,but
と,and
年,Year
で,in
だ,is
月,Month
も,too
から,from
日,Day
成る,Become
こと,thing
有る,Yes
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,for the sake of
この,this
人,Man
その,the
まで,to
もの,thing
へ,fart
又,or
これ,this
行う,conduct
よう,Yo
出来る,I can do it
駅,station
国,Country
より,Than
大学,university
現在,the current
後,rear
か,mosquito
線,line
ぬ,Nu
放送,broadcast
号,issue
軍,army
無い,None
部,Department
持つ,have
所,place
名,given name
回,times
世界,world
時,Time
戦,war
時代,era
東京,Tokyo
おく,put
でも,but
呼ぶ,call
その後,after that
会,Association
それ,that
機,machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,against
しかし,but
つく,arrive
昭和,Showa
作品,the work
地,earth
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,company
川,river
映画,movie
位,rank
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,existence
活動,activity
発売,Release
他,other
出身,Birthplace
年代,era
会社,company
権,right
開発,development
分,minutes
西,West
鉄道,railway
法,law
局,station
更に,Furthermore
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,In addition
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,region
作,Made by
事,case
版,edition
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,In
中心,center
大会,tournament
多く,many
南,south
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,road
角,corner
用いる,use
および,and
館,Hall
場,place
体,body
世紀,century
音楽,music
参加,Participate
発表,announcement
記録,record
掛ける,hang
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,enter
度,Every time
州,state
全て,all
明治,Meiji
生,Living
点,point
力,Power
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,Victory
都市,City
含む,include
アルバム,album
込む,enter
問題,problem
シーズン,Season
開催,held
大阪,Osaka
位置,position
監督,director
上,Up
主,main
設置,Installation
郡,county
戦争,war
物,thing
艦,ship
地方,region
隊,squad
期,period
城,castle
にて,At
長,long
計画,plan
番,number
必要,need
出す,put out
一般,general
変更,change
本,Book
中央,center
関する,related
出る,come out
出演,Appearance
作る,make
基,base
事業,business
委員,committee member
バス,bus
市,city
以下,below
社会,society
教育,education
事件,incident
特に,especially
卒業,graduation
役,role
当初,Initially
結果,result
選挙,election
機関,institution
大きい,big
高等,high school
獲得,acquisition
政府,government
戦う,fight
中国,China
最初,first
設立,Establishment
置く,put
種,seed
金,Money
建設,construction
派,sect
続く,Continue
影響,influence
文化,culture
科,Department
外,outside
デビュー,debut
台,stand
情報,information
そして,and
航空,aviation
村,village
政治,politics
同様,similar
販売,sale
面,surface
異なる,different
担当,in charge
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,as well as
区,Ward
馬,Horse
プロ,Professional
経済,economy
付ける,wear
地区,district
与える,give
それぞれ,Each
年間,yearly
水,water
構成,composition
路線,route
射る,shoot
アメリカ合衆国,united states of america
米,rice
採用,Recruitment
伴う,Accompany
主義,principle
上げる,increase
グループ,group
女性,woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
元,Former
県,prefecture
続ける,continue
技術,technology
当たる,hit
うち,home
海軍,navy
公,public
発生,occurrence
製造,manufacturing
自身,himself
車両,vehicle
光,light
話,Story
野球,baseball
調査,investigation
船,ship
シングル,single
勝,Victory
列車,train
正,Positive
父,father
活躍,Active
省,Ministry
終了,end
文,Sentence
初,first time
全国,Nationwide
収録,Recording
人物,person
ロシア,Russia
渡る,cross
制作,production
就任,Appointment
最後,last
書く,write
下,under
エンジン,engine
状態,situation
かつて,Once upon a time
形,shape
殆んど,Almost
橋,bridge
決定,decision
経る,go through
組織,organization
イタリア,Italy
朝,morning
帝国,empire
生産,production
果たす,fulfill
株式,stock
海,Ocean
神,God
年度,year
モデル,model
描く,draw
道路,road
制,system
次,Next
但し,however
議員,Member of Parliament
京都,Kyoto
